genome	taxonomy	completeness	contamination	subpathway	habitat
20120600_P3M_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__	93.6	1.71	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20120600_P3M_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__	76.05	3.5	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,urea_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20120600_P3M_3	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__;s__	72.3	0	"CAZy-Chitin,CAZy-Polyphenolics,acetogenesis-simple,glycerol_degradation-glycerol"	Palsa
20120600_P3M_4	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	89.74	0.85	"CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,Calvin_Benson-all,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
20120600_P3M_5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__PALSA-1196;s__	82.14	3.27	"CAZy-Chitin,CAZy-Starch,Calvin_Benson-all,carbon_redox-dissimilatory_methanotrophy,chemotaxis-all,lactate_fermentation-all,phosphorous_redox-anabolic_phosphate_reduction,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20120600_P3M_6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003156635	93.16	2.56	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,sucrose_degradation-all"	Palsa
20120600_P3M_9	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__	88.2	0.86	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20120600_P3S_2	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__PALSA-693;s__PALSA-693 sp003156595	99.15	1.28	"CAZy-Beta_mannan,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,Calvin_Benson-all,acetogenesis-simple,ethanol_fermentation-all,galactose_degradation-all,glycerol_degradation-glycerol,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20120700_P1M_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__	73.79	1.55	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Xyloglucan,chemotaxis-all"	Palsa
20120700_P2M_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-147;s__Palsa-147 sp003152355	95.51	1.71	"CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,sucrose_degradation-all,urea_degradation-all"	Palsa
20120700_P3D_40	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__PALSA-350 sp003152195	92.6	0	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20120700_P3S_1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825	89.82	1.16	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,butanoate_fermentation-acetyl_coa_pathway,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20120700_P3S_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003164855	96.63	2.56	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20120700_P3S_3	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1483;s__	82.3	0.24	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Polyphenolics,lactate_fermentation-all"	Palsa
20120800_P2M_7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__	91.56	2.17	"CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20130700_C2M_2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__	88.03	2.67	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,acetogenesis-simple,butanoate_fermentation-acetyl_coa_pathway,ethanol_fermentation-all,fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,propionate_fermentation-acrylate_pathway,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20150700_P11_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003165455	98.69	1.71	"CAZy-Alpha_mannan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20150700_P11_6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__;s__	92.59	0	"CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P13_2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__Palsa-1400;s__	74.23	3.38	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xyloglucan,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P13_7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__	97.11	2.19	"CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P13_8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	94.87	0.43	"CAZy-Polyphenolics,butanoate_fermentation-acetyl_coa_pathway,lactate_fermentation-all"	Palsa
20150700_P14_12	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	98.8	3.42	"CAZy-Polyphenolics,CAZy-Starch,butanoate_fermentation-acetyl_coa_pathway,glycerol_degradation-glycerol,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20150700_P14_6	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__	91.37	3.23	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P14_7	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-513;s__	94.3	0.43	"CAZy-Starch,CAZy-Xyloglucan,galactose_degradation-all,galacturonic_acid_degradation-all,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Palsa
20150700_P14_8	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	78.51	0.86	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,lactose_degradation-all,sucrose_degradation-all"	Palsa
20150700_P15_1	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Bog-1524;s__	92.8	0.37	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,ethanol_fermentation-all,flagella_assembly-all,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P15_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__Palsa-343 sp003167515	96.07	0.05	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,ethanol_fermentation-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P15_13	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	79.25	0.65	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,lactose_degradation-all,sucrose_degradation-all,urea_degradation-all"	Palsa
20150700_P15_16	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__;s__	84.45	2.5	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,galactose_degradation-all,galacturonic_acid_degradation-all,lactate_fermentation-all,lactose_degradation-all,urea_degradation-all"	Palsa
20150700_P15_3	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-513;s__Palsa-513 sp003133565	89.87	0	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Palsa
20150700_P15_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__Palsa-343 sp003152415	84.2	0	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,reductive_glycine-serine_pathway,sucrose_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P15_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__	83.98	0.86	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactose_degradation-all,reductive_glycine-serine_pathway,sucrose_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P15_9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447 sp003140665	96.3	0.68	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,Calvin_Benson-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20150700_P21_1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__	79.24	0.83	"CAZy-Mixed_Linkage_glucans,CAZy-Starch,fructose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P21_10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	82.68	1.51	"CAZy-Arabinose_cleavage,CAZy-Starch,CAZy-Xyloglucan,ethanol_fermentation-all,fructose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P21_2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__PALSA-1196;s__	73.8	3.27	"CAZy-Arabinose_cleavage,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,fructose_degradation-all,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20150700_P21_5	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__PALSA-1484;s__	85.26	0	"CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all"	Palsa
20150700_P21_8	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1478;s__	71.02	2.04	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,urea_degradation-all"	Palsa
20150700_P23_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__	95.97	5.7	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20150700_P23_12	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__	92.38	1.71	"CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,reductive_glycine-serine_pathway,sucrose_degradation-all"	Palsa
20150700_P23_7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	88.27	2.8	"CAZy-Amorphous_Cellulose,CAZy-Polyphenolics,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all,mannose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20150700_P31_13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.23	3.02	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,ethanol_fermentation-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20150700_P31_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__	97.98	1.71	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20160700_S23_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__	84.16	3.12	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,butanoate_fermentation-acetyl_coa_pathway,chemotaxis-all,ethanol_fermentation-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,sucrose_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20170700_P31_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003153585	89.74	2.61	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Pectin,CAZy-Xyloglucan,chemotaxis-all,glycerol_degradation-glycerol"	Palsa
20170700_P33_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__	82.98	2.99	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,reductive_glycine-serine_pathway,sucrose_degradation-all"	Palsa
20170700_S34_32	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-473;s__	72.89	2.99	"CAZy-Chitin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,butanoate_fermentation-acetyl_coa_pathway,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Palsa
3300031525_28	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__	72.69	0.57	"CAZy-Xylans,Calvin_Benson-all,fructose_degradation-all"	Palsa
3300036901_8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Palsa-881;s__	86.62	3.34	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Polyphenolics,CAZy-Starch,butanoate_fermentation-acetyl_coa_pathway,glycerol_degradation-glycerol,lactate_fermentation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
3300037200_7	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	96.3	0.85	"CAZy-Alpha_mannan,CAZy-Starch,CAZy-Xylans,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
